"","tickers","names"
"1","MMM","3M Company"
"2","WBAI","500.com Limited"
"3","WUBA","58.com Inc."
"4","EGHT","8x8, Inc."
"5","AHC","A.H. Belo Corporation"
"6","AOS","A. O. Smith Corporation"
"7","ATEN","A10 Networks, Inc."
"8","AIR","AAR Corp."
"9","AAN","Aaron's, Inc."
"10","ABB","ABB Ltd"
"11","ABT","Abbott Laboratories"
"12","ABBV","AbbVie Inc."
"13","ANF","Abercrombie & Fitch Co."
"14","AGD","Alpine Global Dynamic Dividend Fund"
"15","AWP","Alpine Global Premier Properties Fund"
"16","ACP","Avenue Income Credit Strategies Fund"
"17","JEQ","Aberdeen Japan Equity Fund, Inc."
"18","ASGI","ASGI"
"19","AOD","Alpine Total Dynamic Dividend Fund"
"20","ABM","ABM Industries Incorporated"
"21","AKR","Acadia Realty Trust"
"22","ACEL","ACEL"
"23","ACN","Accenture plc"
"24","ACCO","ACCO Brands Corporation"
"25","ATV","Acorn International, Inc."
"26","AYI","Acuity Brands, Inc."
"27","GOLF","GOLF"
"28","ADX","Adams Diversified Equity Fund, Inc."
"29","PEO","Adams Natural Resources Fund, Inc."
"30","ADCT","ADCT"
"31","AGRO","Adecoagro S.A."
"32","ADNT","ADNT"
"33","ADT","The ADT Corporation"
"34","ATGE","ATGE"
"35","AAP","Advance Auto Parts, Inc."
"36","ADSW","ADSW"
"37","WMS","Advanced Drainage Systems, Inc."
"38","ASIX","ASIX"
"39","AVK","Advent Claymore Convertible Securities and Income Fund"
"40","ACM","AECOM"
"41","AEFC","AEFC"
"42","AEB","AEGON N.V."
"43","AEG","AEGON N.V."
"44","AER","AerCap Holdings N.V."
"45","AJRD","Aerojet Rocketdyne Holdings, Inc."
"46","AMG","Affiliated Managers Group, Inc."
"47","MGR","Affiliated Managers Group, Inc."
"48","AFL","Aflac Incorporated"
"49","MITT","AG Mortgage Investment Trust, Inc."
"50","AGCO","AGCO Corporation"
"51","A","Agilent Technologies, Inc."
"52","AEM","Agnico Eagle Mines Limited"
"53","ADC","Agree Realty Corporation"
"54","AL","Air Lease Corporation"
"55","APD","Air Products and Chemicals, Inc."
"56","ALG","Alamo Group Inc."
"57","AGI","Alamos Gold Inc."
"58","ALK","Alaska Air Group, Inc."
"59","AIN","Albany International Corp."
"60","ALB","Albemarle Corporation"
"61","ACI","ACI"
"62","AA","Alcoa Corporation"
"63","ALC","ALC"
"64","ALEX","Alexander & Baldwin, Inc."
"65","ALX","Alexander's, Inc."
"66","ARE","Alexandria Real Estate Equities, Inc."
"67","AQN","AQN"
"68","AQNA","AQNA"
"69","AQNB","AQNB"
"70","BABA","Alibaba Group Holding Limited"
"71","Y","Alleghany Corporation"
"72","ATI","Allegheny Technologies Incorporated"
"73","ALLE","Allegion plc"
"74","ALE","ALLETE, Inc."
"75","ADS","Alliance Data Systems Corporation"
"76","AFB","AllianceBernstein National Municipal Income Fund"
"77","AWF","AllianceBernstein Global High Income Fund"
"78","AB","AllianceBernstein Holding L.P."
"79","AIO","AIO"
"80","CBH","CBH"
"81","NCV","AllianzGI Convertible & Income Fund"
"82","NCZ","AllianzGI Convertible & Income Fund II"
"83","ACV","AllianzGI Diversified Income & Convertible Fund"
"84","NFJ","AllianzGI NFJ Dividend, Interest & Premium Strategy Fund"
"85","NIE","AllianzGI Equity & Convertible Income Fund"
"86","ALSN","Allison Transmission Holdings, Inc."
"87","ALL","The Allstate Corporation"
"88","ALLY","Ally Financial Inc."
"89","PINE","PINE"
"90","ALTG","ALTG"
"91","AYX","AYX"
"92","ATUS","ATUS"
"93","MO","Altria Group, Inc."
"94","ACH","Aluminum Corporation Of China Limited"
"95","ALUS","ALUS"
"96","AMBC","Ambac Financial Group, Inc."
"97","ABEV","Ambev S.A."
"98","AMC","AMC Entertainment Holdings, Inc."
"99","AMCR","AMCR"
"100","AEE","Ameren Corporation"
"101","AMRC","Ameresco, Inc."
"102","AMOV","América Móvil, S.A.B. de C.V."
"103","AMX","América Móvil, S.A.B. de C.V."
"104","AAT","American Assets Trust, Inc."
"105","AXL","American Axle & Manufacturing Holdings, Inc."
"106","ACC","American Campus Communities, Inc."
"107","AEO","American Eagle Outfitters, Inc."
"108","AEP","American Electric Power Company, Inc."
"109","AEL","American Equity Investment Life Holding Company"
"110","AXP","American Express Company"
"111","AFG","American Financial Group, Inc."
"112","AFGB","AFGB"
"113","AFGC","AFGC"
"114","AFGD","AFGD"
"115","AFGH","American Financial Group, Inc."
"116","AMH","American Homes 4 Rent"
"117","AIG","American International Group, Inc."
"118","ARL","American Realty Investors, Inc."
"119","ARA","ARA"
"120","AWR","American States Water Company"
"121","AMT","American Tower Corporation"
"122","AVD","American Vanguard Corporation"
"123","AWK","American Water Works Company, Inc."
"124","COLD","COLD"
"125","AMP","Ameriprise Financial, Inc."
"126","ABC","AmerisourceBergen Corporation"
"127","RYCE","RYCE"
"128","AMN","AMN"
"129","AMRX","AMRX"
"130","AP","Ampco-Pittsburgh Corporation"
"131","APH","Amphenol Corporation"
"132","AXR","AMREP Corporation"
"133","HKIB","HKIB"
"134","AME","AMETEK, Inc."
